"ID","NEWSCODE","PUBLISHTIME","PUBLISHDATE","COMPCODE","INDEXCODE","INDEXTYPE","IMPSCORE","ISVALID","TMSTAMP","ENTRYDATE","ENTRYTIME","NEWSCODEHD","DATA_DOWNLOAD_TIME"
"3313247","20200715020102090712","2020/7/15 0:54:00","20200715","80071442","519102","519","-1","1","0000000104A7108C","2020/7/15","07:02:43","20200715020011698571",""
"3313248","20200715020102090712","2020/7/15 0:54:00","20200715","80115142","519102","519","-1","1","0000000104A71092","2020/7/15","07:02:43","20200715020011698571",""
"3313249","20200715020102090712","2020/7/15 0:54:00","20200715","80289640","519102","519","-1","1","0000000104A71096","2020/7/15","07:02:43","20200715020011698571",""
"3313250","20200715020102090712","2020/7/15 0:54:00","20200715","80543003","519102","519","-1","1","0000000104A7109B","2020/7/15","07:02:43","20200715020011698571",""
"3313251","20200715020102090712","2020/7/15 0:54:00","20200715","80617222","519102","519","-1","1","0000000104A710A1","2020/7/15","07:02:43","20200715020011698571",""
"3313252","20200715020102090712","2020/7/15 0:54:00","20200715","80617266","519102","519","-1","1","0000000104A710A6","2020/7/15","07:02:43","20200715020011698571",""
"3313253","20200715020102090712","2020/7/15 0:54:00","20200715","80617440","519102","519","-1","1","0000000104A710AA","2020/7/15","07:02:43","20200715020011698571",""
"3313254","20200715020102090712","2020/7/15 0:54:00","20200715","80801046","519102","519","-1","1","0000000104A710AF","2020/7/15","07:02:43","20200715020011698571",""
"3313255","20200715020102090803","2020/7/15 1:05:00","20200715","80166376","511100","511","0","1","0000000104A710B1","2020/7/15","07:02:43","20200715020011698584",""
"3313269","20200715020102090866","2020/7/15 0:16:00","20200715","10001230","519100","519","-1","1","0000000104A76EEB","2020/7/15","07:12:55","20200715020011698593",""
"3313270","20200715020102090866","2020/7/15 0:16:00","20200715","80037319","513120","513","-1","1","0000000104A76EEC","2020/7/15","07:12:55","20200715020011698593",""
"3313271","20200715020102090866","2020/7/15 0:16:00","20200715","80623595","513123","513","-1","1","0000000104A76EED","2020/7/15","07:12:55","20200715020011698593",""
"3313272","20200715020102090894","2020/7/15 6:24:00","20200715","80137692","513116","513","-1","1","0000000104A76EF2","2020/7/15","07:12:55","20200715020011698597",""
"3313256","20200715020102090810","2020/7/15 1:12:00","20200715","80047275","512112","512","0","1","0000000104A710B6","2020/7/15","07:02:43","20200715020011698585",""
"3313257","20200715020102090810","2020/7/15 1:12:00","20200715","80093110","512112","512","0","1","0000000104A710BA","2020/7/15","07:02:43","20200715020011698585",""
"3313258","20200715020102090810","2020/7/15 1:12:00","20200715","80102737","512112","512","0","1","0000000104A710BD","2020/7/15","07:02:43","20200715020011698585",""
"3313261","20200715020102090908","2020/7/15 6:20:00","20200715","10000383","511106","511","-1","1","0000000104A710D3","2020/7/15","07:02:43","20200715020011698599",""
"3313262","20200715020102090908","2020/7/15 6:20:00","20200715","10001210","511106","511","-1","1","0000000104A710D7","2020/7/15","07:02:43","20200715020011698599",""
"3313263","20200715020102090908","2020/7/15 6:20:00","20200715","80080362","511106","511","-1","1","0000000104A710DA","2020/7/15","07:02:43","20200715020011698599",""
"3313264","20200715020102090908","2020/7/15 6:20:00","20200715","80088743","511106","511","-1","1","0000000104A710DE","2020/7/15","07:02:43","20200715020011698599",""
"3313265","20200715020102090908","2020/7/15 6:20:00","20200715","80197888","511106","511","-1","1","0000000104A710E0","2020/7/15","07:02:43","20200715020011698599",""
"3313266","20200715020102090908","2020/7/15 6:20:00","20200715","80199124","511106","511","-1","1","0000000104A710E2","2020/7/15","07:02:43","20200715020011698599",""
"3313267","20200715020102090908","2020/7/15 6:20:00","20200715","80319008","511106","511","-1","1","0000000104A710E3","2020/7/15","07:02:43","20200715020011698599",""
"3313268","20200715020102090908","2020/7/15 6:20:00","20200715","80471426","511106","511","-1","1","0000000104A710E4","2020/7/15","07:02:43","20200715020011698599",""
"3313273","20200715020102091027","2020/7/15 6:35:00","20200715","10000765","519102","519","-1","1","0000000104A76EF9","2020/7/15","07:12:55","20200715020011698616",""
"3313274","20200715020102091027","2020/7/15 6:35:00","20200715","80151128","518101","518","-1","1","0000000104A76EFA","2020/7/15","07:12:55","20200715020011698616",""
"3313275","20200715020102091041","2020/7/15 6:44:00","20200715","10000474","511102","511","0","1","0000000104A76F03","2020/7/15","07:12:55","20200715020011698618",""
"3315931","20200715030029566246","2020/7/15 15:33:15","20200715","80378688","511101","511","0","1","0000000104C60E1D","2020/7/15","18:50:17","20200715030001337933",""
"3315932","20200715030029566246","2020/7/15 15:33:15","20200715","80378400","511101","511","0","1","0000000104C60D52","2020/7/15","18:50:17","20200715030001337933",""
"3315933","20200715030029565938","2020/7/15 15:33:15","20200715","80009567","511101","511","-2","1","0000000104C60DC1","2020/7/15","18:50:17","20200715030001337889",""
"3315934","20200715030029566946","2020/7/15 16:06:15","20200715","80069638","511102","511","-1","1","0000000104C60DC2","2020/7/15","18:50:17","20200715030001338033",""
"3315935","20200715030029566967","2020/7/15 15:32:15","20200715","80592246","514105","514","-1","1","0000000104BFE068","2020/7/15","16:35:04","20200715030001338036",""
"3315936","20200715030029567044","2020/7/15 16:15:56","20200715","80378720","511102","511","-1","1","0000000104C60DC3","2020/7/15","18:50:17","20200715030001338047",""
"3315937","20200715030029567128","2020/7/15 16:13:15","20200715","80392739","511102","511","-1","1","0000000104C60D89","2020/7/15","18:50:17","20200715030001338059",""
"3315938","20200715030029567093","2020/7/15 16:10:15","20200715","80198755","511102","511","-1","1","0000000104C60D98","2020/7/15","18:50:17","20200715030001338054",""
"3315939","20200715030029567191","2020/7/15 16:13:15","20200715","80198469","511102","511","-1","1","0000000104C60D99","2020/7/15","18:50:17","20200715030001338068",""
"3315940","20200715030029567198","2020/7/15 16:12:15","20200715","80146933","519102","519","-3","1","0000000104CD4FEA","2020/7/15","23:35:04","20200715030001338069",""
"3315941","20200715020102130402","2020/7/15 16:09:00","20200715","80137634","512100","512","0","1","0000000104C02420","2020/7/15","16:40:51","20200715020011704241",""
"3315942","20200715020102130514","2020/7/15 16:20:00","20200715","80464897","511103","511","-1","1","0000000104C02427","2020/7/15","16:40:51","20200715020011704257",""
"3315943","20200715020102130521","2020/7/15 16:21:00","20200715","80198469","511102","511","0","1","0000000104C02428","2020/7/15","16:40:51","20200715020011704258",""
"3315944","20200715020102130444","2020/7/15 16:29:00","20200715","80198742","511102","511","-1","1","0000000104C02431","2020/7/15","16:40:51","20200715020011704247",""
"3315945","20200715020102130549","2020/7/15 16:30:00","20200715","80506372","511102","511","-1","1","0000000104C02432","2020/7/15","16:40:51","20200715020011704262",""
"3315946","20200715020102130570","2020/7/15 16:33:00","20200715","80188734","512100","512","-1","1","0000000104C02438","2020/7/15","16:40:51","20200715020011704265",""
"3315947","20200715020102130570","2020/7/15 16:33:00","20200715","80553260","513108","513","0","1","0000000104C02439","2020/7/15","16:40:51","20200715020011704265",""
"3315948","20200715020102130500","2020/7/15 16:08:00","20200715","80082012","513104","513","-1","1","0000000104C02422","2020/7/15","16:40:51","20200715020011704255",""
"3315949","20200715020102130605","2020/7/15 15:58:00","20200715","80044526","519102","519","-1","1","0000000104C02423","2020/7/15","16:40:51","20200715020011704270",""
"3315950","20200715020102130605","2020/7/15 15:58:00","20200715","80292345","519102","519","-1","1","0000000104C02424","2020/7/15","16:40:51","20200715020011704270",""
"3315951","20200715020102130605","2020/7/15 15:58:00","20200715","80726883","519102","519","-1","1","0000000104C02425","2020/7/15","16:40:51","20200715020011704270",""
"3315952","20200715020102130535","2020/7/15 16:16:00","20200715","80522065","514110","514","-1","1","0000000104C0242B","2020/7/15","16:40:51","20200715020011704260",""
"3315953","20200715020102130542","2020/7/15 13:33:00","20200715","80141020","512100","512","0","1","0000000104C0242F","2020/7/15","16:40:51","20200715020011704261",""
"3315954","20200715020102130563","2020/7/15 13:29:00","20200715","80427614","513128","513","-1","1","0000000104C02434","2020/7/15","16:40:51","20200715020011704264",""
"3315970","20200715020102130773","2020/7/15 14:20:00","20200715","10001057","512100","512","-2","1","0000000104C020C9","2020/7/15","16:40:51","20200715020011704294",""
"3315971","20200715020102130311","2020/7/15 16:20:00","20200715","80471362","513104","513","-1","1","0000000104C088DE","2020/7/15","16:50:51","20200715020011704228",""
"3315972","20200715020102130311","2020/7/15 16:20:00","20200715","80487815","513104","513","-1","1","0000000104C088DF","2020/7/15","16:50:51","20200715020011704228",""
"3315973","20200715020102130871","2020/7/15 16:12:00","20200715","81393727","519101","519","-1","1","0000000104C0216E","2020/7/15","16:40:51","20200715020011704308",""
"3315955","20200715020102130577","2020/7/15 14:59:00","20200715","80189522","511105","511","0","1","0000000104C023CD","2020/7/15","16:40:51","20200715020011704266",""
"3315956","20200715020102130577","2020/7/15 14:59:00","20200715","80199578","511105","511","0","1","0000000104C023EF","2020/7/15","16:40:51","20200715020011704266",""
"3315957","20200715020102130577","2020/7/15 14:59:00","20200715","80207311","511105","511","0","1","0000000104C023FF","2020/7/15","16:40:51","20200715020011704266",""
"3315958","20200715020102130577","2020/7/15 14:59:00","20200715","80278377","511105","511","0","1","0000000104C0240D","2020/7/15","16:40:51","20200715020011704266",""
"3315959","20200715020102130577","2020/7/15 14:59:00","20200715","80341353","511105","511","0","1","0000000104C0240E","2020/7/15","16:40:51","20200715020011704266",""
"3315960","20200715020102130577","2020/7/15 14:59:00","20200715","80488660","511105","511","0","1","0000000104C0240F","2020/7/15","16:40:51","20200715020011704266",""
"3315961","20200715020102130577","2020/7/15 14:59:00","20200715","80509913","511105","511","0","1","0000000104C02410","2020/7/15","16:40:51","20200715020011704266",""
"3315962","20200715020102130577","2020/7/15 14:59:00","20200715","80557144","511105","511","0","1","0000000104C02411","2020/7/15","16:40:51","20200715020011704266",""
"3315963","20200715020102130395","2020/7/15 16:05:00","20200715","80009207","513117","513","-1","1","0000000104C02416","2020/7/15","16:40:51","20200715020011704240",""
"3315964","20200715020102130395","2020/7/15 16:05:00","20200715","80137412","513108","513","0","1","0000000104C02417","2020/7/15","16:40:51","20200715020011704240",""
"3315965","20200715020102130395","2020/7/15 16:05:00","20200715","80137594","513117","513","-1","1","0000000104C02418","2020/7/15","16:40:51","20200715020011704240",""
"3315966","20200715020102130395","2020/7/15 16:05:00","20200715","80148908","513123","513","-1","1","0000000104C02419","2020/7/15","16:40:51","20200715020011704240",""
"3315967","20200715020102130395","2020/7/15 16:05:00","20200715","80179632","513108","513","0","1","0000000104C0241A","2020/7/15","16:40:51","20200715020011704240",""
"3315968","20200715020102130395","2020/7/15 16:05:00","20200715","80179937","513107","513","-2","1","0000000104C0241B","2020/7/15","16:40:51","20200715020011704240",""
"3315969","20200715020102130808","2020/7/15 16:31:00","20200715","80138986","512100","512","-1","1","0000000104C02437","2020/7/15","16:40:51","20200715020011704299",""
"3315974","20200715020102130927","2020/7/15 16:23:00","20200715","80392739","511102","511","0","1","0000000104C088D4","2020/7/15","16:50:51","20200715020011704316",""
"3315975","20200715020102130556","2020/7/15 16:16:00","20200715","80036724","513128","513","-1","1","0000000104C088D7","2020/7/15","16:50:51","20200715020011704263",""
"3315976","20200715020102130556","2020/7/15 16:16:00","20200715","80314430","518102","518","-1","1","0000000104C088D8","2020/7/15","16:50:51","20200715020011704263",""
"3315977","20200715020102130556","2020/7/15 16:16:00","20200715","80413144","518102","518","-1","1","0000000104C088D9","2020/7/15","16:50:51","20200715020011704263",""
"3315978","20200715020102130556","2020/7/15 16:16:00","20200715","80641062","518102","518","-1","1","0000000104C088DA","2020/7/15","16:50:51","20200715020011704263",""
"3315979","20200715020102130556","2020/7/15 16:16:00","20200715","80660137","518102","518","-1","1","0000000104C088DB","2020/7/15","16:50:51","20200715020011704263",""
"3315980","20200715020102130556","2020/7/15 16:16:00","20200715","80712640","518102","518","-1","1","0000000104C088DC","2020/7/15","16:50:51","20200715020011704263",""
"3315981","20200715020102130556","2020/7/15 16:16:00","20200715","80746659","513128","513","-1","1","0000000104C088DD","2020/7/15","16:50:51","20200715020011704263",""
"3315982","20200715020102130948","2020/7/15 16:32:00","20200715","80975064","513109","513","-1","1","0000000104C088F2","2020/7/15","16:50:51","20200715020011704319",""
"3315983","20200715020102130990","2020/7/15 16:35:00","20200715","10000123","512100","512","-1","1","0000000104C088F5","2020/7/15","16:50:51","20200715020011704325",""
"3315984","20200715020102131018","2020/7/15 16:23:00","20200715","80082012","513104","513","-1","1","0000000104C088F8","2020/7/15","16:50:51","20200715020011704329",""
"3315985","20200715020102130906","2020/7/15 16:04:00","20200715","80055713","511101","511","0","1","0000000104C088CE","2020/7/15","16:50:51","20200715020011704313",""
"3315986","20200715020102130906","2020/7/15 16:04:00","20200715","80293228","511101","511","0","1","0000000104C088CF","2020/7/15","16:50:51","20200715020011704313",""
"3315987","20200715020102130962","2020/7/15 11:18:00","20200715","80082012","513104","513","0","1","0000000104C088F4","2020/7/15","16:50:51","20200715020011704321",""
"3315988","20200715020102130997","2020/7/15 16:35:00","20200715","82522680","512103","512","-2","1","0000000104C088F6","2020/7/15","16:50:51","20200715020011704326",""
"3315989","20200715020102131067","2020/7/15 16:27:00","20200715","80002219","512100","512","-2","1","0000000104C088D5","2020/7/15","16:50:51","20200715020011704336",""
"3304467","20200713020101981657","2020/7/13 12:41:00","20200713","80115081","513109","513","-1","1","000000010457F344","2020/7/13","13:22:07","20200713020011682992",""
"3304468","20200713020101981657","2020/7/13 12:41:00","20200713","80196785","513123","513","-1","1","000000010457F345","2020/7/13","13:22:07","20200713020011682992",""
"3304469","20200713020101981657","2020/7/13 12:41:00","20200713","80801369","513109","513","-1","1","000000010457F346","2020/7/13","13:22:07","20200713020011682992",""
"3304470","20200713020101981657","2020/7/13 12:41:00","20200713","81678672","513108","513","-1","1","000000010457F347","2020/7/13","13:22:07","20200713020011682992",""
"3304471","20200713020101981776","2020/7/13 11:29:00","20200713","80140592","519102","519","-1","1","000000010457F325","2020/7/13","13:22:07","20200713020011683009",""
"3304472","20200713020101981930","2020/7/13 12:29:00","20200713","80400439","513131","513","-2","1","000000010457F343","2020/7/13","13:22:07","20200713020011683031",""
"3304473","20200713020101981608","2020/7/13 11:31:00","20200713","80154823","519100","519","-1","1","000000010457F34B","2020/7/13","13:22:07","20200713020011682985",""
"3304474","20200713020101981986","2020/7/13 7:00:00","20200713","80688642","513107","513","-1","1","000000010457F317","2020/7/13","13:22:07","20200713020011683039",""
"3304475","20200713020101981972","2020/7/13 11:26:00","20200713","80997494","590100","590","-1","1","000000010457F31E","2020/7/13","13:22:07","20200713020011683037",""
"3304476","20200713020101982021","2020/7/13 11:08:00","20200713","80082012","518104","518","0","1","000000010457F34C","2020/7/13","13:22:07","20200713020011683044",""
"3304477","20200713020101981664","2020/7/13 11:31:00","20200713","80049990","511102","511","0","1","000000010457F348","2020/7/13","13:22:07","20200713020011682993",""
"3304478","20200713020101981664","2020/7/13 11:31:00","20200713","80179302","512100","512","-2","1","000000010457F349","2020/7/13","13:22:07","20200713020011682993",""
"3304511","20200713020101982938","2020/7/13 8:02:00","20200713","10002250","513106","513","0","1","0000000104589E07","2020/7/13","13:43:00","20200713020011683175",""
"3304512","20200713020101983274","2020/7/13","20200713","80928102","513123","513","-1","1","0000000104589E0A","2020/7/13","13:43:00","20200713020011683223",""
"3304514","20200713020101983141","2020/7/13 11:34:00","20200713","80865224","513123","513","-1","1","000000010458479A","2020/7/13","13:32:45","20200713020011683204",""
"3304515","20200713020101982966","2020/7/13 12:45:00","20200713","80597256","513128","513","-1","1","000000010458479B","2020/7/13","13:32:45","20200713020011683179",""
"3304516","20200713020101982966","2020/7/13 12:45:00","20200713","80984659","513128","513","0","1","000000010458479F","2020/7/13","13:32:45","20200713020011683179",""
"3304517","20200713020101983183","2020/7/13 12:30:00","20200713","80543767","514104","514","-1","1","00000001045847BC","2020/7/13","13:32:45","20200713020011683210",""
"3304518","20200713020101983421","2020/7/13 11:18:00","20200713","80124192","511101","511","0","1","0000000104589E0C","2020/7/13","13:43:00","20200713020011683244",""
"3304519","20200713020101983729","2020/7/13 12:17:00","20200713","80144612","519102","519","-1","1","0000000104589E2B","2020/7/13","13:43:00","20200713020011683288",""
"3304520","20200713020101983498","2020/7/13 9:58:00","20200713","80137675","513102","513","0","1","0000000104589E2F","2020/7/13","13:43:00","20200713020011683255",""
"3304521","20200713020101983498","2020/7/13 9:58:00","20200713","82493037","513104","513","0","1","0000000104589E33","2020/7/13","13:43:00","20200713020011683255",""
"3304522","20200713020101983736","2020/7/13 13:20:00","20200713","80400439","513131","513","-2","1","0000000104589E38","2020/7/13","13:43:00","20200713020011683289",""
"3304523","20200713020101983603","2020/7/13 12:41:00","20200713","80442760","514102","514","-1","1","00000001045DE77F","2020/7/13","16:13:07","20200713020011683270",""
"3304524","20200713020101983939","2020/7/13 12:56:00","20200713","10000413","513128","513","-1","1","0000000104589E1B","2020/7/13","13:43:00","20200713020011683318",""
"3304525","20200713020101983939","2020/7/13 12:56:00","20200713","80387949","513128","513","-1","1","0000000104589E1D","2020/7/13","13:43:00","20200713020011683318",""
"3304526","20200713020101983939","2020/7/13 12:56:00","20200713","80411906","513128","513","-1","1","0000000104589E22","2020/7/13","13:43:00","20200713020011683318",""
"3304527","20200713020101983995","2020/7/13 10:36:00","20200713","80143712","512100","512","-1","1","0000000104589E0B","2020/7/13","13:43:00","20200713020011683326",""
"3304528","20200713020101983897","2020/7/13 11:49:00","20200713","10001092","511105","511","0","1","0000000104589E11","2020/7/13","13:43:00","20200713020011683312",""
"3304529","20200713020101983897","2020/7/13 11:49:00","20200713","10001092","512100","512","-1","1","0000000104589E15","2020/7/13","13:43:00","20200713020011683312",""
"3304530","20200713020101984002","2020/7/13 13:17:00","20200713","80446456","513108","513","0","1","0000000104589E27","2020/7/13","13:43:00","20200713020011683327",""
"3304586","20200713020101985563","2020/7/13 13:29:00","20200713","80487815","511102","511","0","1","000000010459C553","2020/7/13","14:12:55","20200713020011683550",""
"3304587","20200713020101985717","2020/7/13 13:44:00","20200713","80098347","518100","518","-1","1","000000010459C558","2020/7/13","14:12:55","20200713020011683572",""
"3304588","20200713020101985514","2020/7/13 13:44:00","20200713","10001997","511102","511","0","1","000000010459C55D","2020/7/13","14:12:55","20200713020011683543",""
"3304589","20200713020101985514","2020/7/13 13:44:00","20200713","80487815","511102","511","0","1","000000010459C55E","2020/7/13","14:12:55","20200713020011683543",""
"3304590","20200713020101985514","2020/7/13 13:44:00","20200713","81065762","511102","511","0","1","000000010459C55F","2020/7/13","14:12:55","20200713020011683543",""
"3304591","20200713020101985843","2020/7/13 11:19:00","20200713","80093215","519100","519","-1","1","000000010459C522","2020/7/13","14:12:55","20200713020011683590",""
"3304592","20200713020101985675","2020/7/13 12:28:00","20200713","10002291","513128","513","-1","1","000000010459C526","2020/7/13","14:12:55","20200713020011683566",""
"3304593","20200713020101985696","2020/7/13 13:28:00","20200713","81120474","511102","511","0","1","000000010459C535","2020/7/13","14:12:55","20200713020011683569",""
"3304594","20200713020101985787","2020/7/13 13:30:00","20200713","81112816","513128","513","-1","1","000000010459C53E","2020/7/13","14:12:55","20200713020011683582",""
"3304595","20200713020101985787","2020/7/13 13:30:00","20200713","81624947","513108","513","0","1","000000010459C544","2020/7/13","14:12:55","20200713020011683582",""
"3304596","20200713020101985787","2020/7/13 13:30:00","20200713","81624949","513108","513","0","1","000000010459C54A","2020/7/13","14:12:55","20200713020011683582",""
"3304597","20200713020101985787","2020/7/13 13:30:00","20200713","81624950","513108","513","0","1","000000010459C54E","2020/7/13","14:12:55","20200713020011683582",""
"3304598","20200713020101985794","2020/7/13 0:29:00","20200713","80520086","518101","518","-2","1","000000010459C554","2020/7/13","14:12:55","20200713020011683583",""
"3304599","20200713020101985794","2020/7/13 0:29:00","20200713","80554587","518101","518","-2","1","000000010459C555","2020/7/13","14:12:55","20200713020011683583",""
"3304600","20200713020101985444","2020/7/13 13:40:00","20200713","80477813","518101","518","-2","1","000000010459C557","2020/7/13","14:12:55","20200713020011683533",""
"3304601","20200713020101985752","2020/7/13 13:55:00","20200713","10000813","513108","513","0","1","000000010459C561","2020/7/13","14:12:55","20200713020011683577",""
"3304602","20200713020101985752","2020/7/13 13:55:00","20200713","80733864","519101","519","-1","1","000000010459C562","2020/7/13","14:12:55","20200713020011683577",""
"3304603","20200713020101984107","2020/7/13 11:51:00","20200713","80324828","519102","519","-1","1","000000010459C516","2020/7/13","14:12:55","20200713020011683342",""
"3304604","20200713020101984107","2020/7/13 11:51:00","20200713","80982075","519102","519","-1","1","000000010459C51D","2020/7/13","14:12:55","20200713020011683342",""
"3304605","20200713020101985780","2020/7/13 13:33:00","20200713","80518692","511103","511","0","1","000000010459C539","2020/7/13","14:12:55","20200713020011683581",""
"3304607","20200713020101986074","2020/7/13 13:19:00","20200713","10000969","513109","513","-1","1","000000010459C551","2020/7/13","14:12:55","20200713020011683623",""
"3304608","20200713020101986109","2020/7/13","20200713","80446901","513107","513","-3","1","000000010459C556","2020/7/13","14:12:55","20200713020011683628",""
"3304609","20200713020101986102","2020/7/13 14:01:00","20200713","80442760","514102","514","0","1","000000010459C560","2020/7/13","14:12:55","20200713020011683627",""
"3304611","20200713020101986214","2020/7/13 12:37:00","20200713","80442760","514110","514","-1","1","000000010459C52F","2020/7/13","14:12:55","20200713020011683643",""
"3304612","20200713020101986249","2020/7/13 6:14:00","20200713","80013571","514110","514","-1","1","000000010459C55A","2020/7/13","14:12:55","20200713020011683648",""
"3307958","20200714020102025373","2020/7/14 3:17:00","20200714","80520429","511106","511","-2","1","000000010487DDB1","2020/7/14","15:03:13","20200714020011689237",""
