无	重磅！国开行原董事长胡怀邦被开除党籍！与不法商人沆瀣一气，大肆收取财物，事涉五宗罪！金融反腐在继续加码
无	大搞权钱交易！国开行原董事长胡怀邦被开除党籍
无	国开行原董事长被开除党籍！与不法商人沆瀣一气，大肆收取财物，事涉五宗罪！
无	涉王三运案的中管干部胡怀邦被开除党籍，两人违纪有一共同点
无	国开行原董事长胡怀邦被开除党籍 曾涉王三运、叶简明案
无	国开证券股份有限公司关于上海华信国际集团有限公司2015年公司债券临时受托管理事务报告（上海华信进入破产清算程序后债权申报及相关事宜）
无	上海华信国际集团有限公司2017年度第四期超短期融资券第四次持有人会议决议的公告
无	关于召开上海华信国际集团有限公司2017年度第二期超短期融资券第三次持有人会议的补充公告
无	关于召开17沪华信SCP003和17沪华信SCP005第五次持有人会议的公告
信用风险	主承销商关于上海华信国际集团有限公司17沪华信SCP003及17沪华信SCP005违约后续进展情况的公告(2019年12月)
信用风险	国家开发银行关于上海华信国际集团有限公司2015年度第一期中期票据违约后续进展情况的公告(2019年12月)
无	盘点那些爆雷的债权人会议
信用风险	中国建设银行股份有限公司关于上海华信国际集团有限公司2017年度第二期超短期融资券违约后续进展公告
无	关于召开上海华信国际集团有限公司2017年度第二期超短期融资券第三次持有人会议的公告
无	关于上海华信国际集团有限公司“17沪华信MTN001”及“17沪华信MTN002”2019年度第四次持有人会议决议的公告
信用风险	主承销商关于上海华信国际集团有限公司“17沪华信MTN001”及“17沪华信MTN002”违约后续进展公告(2019年12月)
无	中信建投证券股份有限公司关于召开“16申信01”2020年第一次债券持有人会议的通知
无	中信建投证券股份有限公司关于召开“17华信Y1”2020年第一次债券持有人会议的通知
无	中信建投证券股份有限公司关于召开“17华信Y2”2020年第一次债券持有人会议的通知
信用风险	主承销商关于上海华信国际集团有限公司2017年度第四期超短期融资券违约后续进展的公告(2019年12月)
无	贵州银行年底港股上市 与第3大股东关联交易暗藏风险
无	关于召开上海华信国际集团有限公司2017年度第四期超短期融资券第四次持有人会议的公告
无	国开证券股份有限公司关于上海华信国际集团有限公司2015年公司债券临时受托管理事务报告
无	2019信用债违约破1300亿，近九成为民企！
法律风险	上海华信国际集团有限公司关于近期诉讼事项的公告
无	华信证券接盘方现身，宁波国资委旗下甬兴证券接手旗下资产？
无	独家重磅！华信证券接盘方现身，甬兴证券接手旗下资产！时隔12年，再现摘牌券商出让，接盘方有何来头？
无	国开证券股份有限公司关于上海华信国际集团有限公司2015年公司债券临时受托管理事务报告
